Day,Total_Daily_Consumption,LCLid
2011-11-23,90.3850001,13
2011-11-24,213.4119999,25
2011-11-25,303.99299990000003,32
2011-11-26,420.9759997,41
2011-11-27,444.8830006,41
2011-11-28,500.6859998,55
2011-11-29,584.3170005,63
2011-11-30,669.827,76
2011-12-01,848.9490005,92
2011-12-02,1014.5910005000001,100
2011-12-03,1185.8300002,110
2011-12-04,1337.9440002,110
2011-12-05,1336.8240004,126
2011-12-06,1540.891,132
2011-12-07,1655.1830005,152
2011-12-08,1924.6999997,167
2011-12-09,2163.8099997,184
2011-12-10,2539.3939995,201
2011-12-11,2763.5840016,201
2011-12-12,2581.6229998,216
2011-12-13,2678.4680002,224
2011-12-14,2875.1240002,232
2011-12-15,3101.3840014,252
2011-12-16,3504.5329971,262
2011-12-17,3783.3509991,280
2011-12-18,4125.0359997,280
2011-12-19,4270.0860012,310
2011-12-20,4181.2959978,329
2011-12-21,4239.8509993,349
2011-12-22,4345.0609986,367
2011-12-23,4632.3860013,378
2011-12-24,4938.6899995,378
2011-12-25,4894.8839985,378
2011-12-26,4182.7880009,378
2011-12-27,4345.089,378
2011-12-28,4562.9839984,387
2011-12-29,4882.2579993,402
2011-12-30,5098.1300013,411
2011-12-31,5111.2049989,411
2012-01-01,5123.6349993,411
2012-01-02,5242.1999995,411
2012-01-03,5327.0109997,418
2012-01-04,5351.2790004,420
2012-01-05,5409.0409999,421
2012-01-06,5380.4000012,423
2012-01-07,5412.5550028,424
2012-01-08,5666.3259983,423
2012-01-09,5290.8459993,425
2012-01-10,5137.7699968,429
2012-01-11,5139.9380006,429
2012-01-12,5232.6619998,434
2012-01-13,5459.9219979,436
2012-01-14,5924.8750006,439
2012-01-15,6162.3379973,439
2012-01-16,5832.3700005,447
2012-01-17,5956.9149997,449
2012-01-18,5806.3010008,454
2012-01-19,5695.4889984,464
2012-01-20,6135.8529989,480
2012-01-21,6278.6479999,493
2012-01-22,6764.3539985,493
2012-01-23,6420.5889977,509
2012-01-24,6642.0819997,516
2012-01-25,6615.6920027,527
2012-01-26,6594.3049985,533
