Date,Actual Energy Consumption,Predicted Energy Consumption,Holiday Indicator,Temperature,Humidity,Wind Speed,Prediction Period,Validation RMSE,Test RMSE
2013-10-27,9.615820562,10.125243361310355,0,15.87,0.81,7.05,1 Month,0.495,3.007
2013-10-28,9.88144034,9.451586712604417,0,16.06,0.81,7.68,1 Month,0.495,3.007
2013-10-29,9.912630702,9.334583454327348,0,12.38,0.77,4.77,1 Month,0.495,3.007
2013-10-30,9.929816676,9.198225397241742,0,13.57,0.8,3.67,1 Month,0.495,3.007
2013-10-31,9.970303795,9.243668575966124,0,13.11,0.89,4.42,1 Month,0.495,3.007
2013-11-01,9.821781352,9.110162092178944,0,13.97,0.89,2.95,1 Month,0.495,3.007
2013-11-02,9.977709802,9.498332268886115,0,15.08,0.82,4.55,1 Month,0.495,3.007
2013-11-03,11.04418563,10.169574199825277,0,11.43,0.74,5.3,1 Month,0.495,3.007
2013-11-04,10.32191792,9.499865240992797,0,9.98,0.82,2.94,1 Month,0.495,3.007
2013-11-05,10.71036912,9.177126347092457,0,12.39,0.83,3.96,1 Month,0.495,3.007
2013-11-06,10.47851147,8.999218970025293,0,14.87,0.88,4.86,1 Month,0.495,3.007
2013-11-07,10.1193467,9.082282512470506,0,14.7,0.83,2.89,1 Month,0.495,3.007
2013-11-08,10.53117364,9.074079479375511,0,11.0,0.9,2.0,1 Month,0.495,3.007
2013-11-09,11.30692057,9.591936072617806,0,7.06,0.9,1.9,1 Month,0.495,3.007
2013-11-10,11.55390073,10.081117056891776,0,9.22,0.79,2.61,1 Month,0.495,3.007
2013-11-11,11.00790902,9.248577567774555,0,12.63,0.91,3.65,1 Month,0.495,3.007
2013-11-12,10.40471258,9.008762811693726,0,13.11,0.85,2.26,1 Month,0.495,3.007
2013-11-13,10.66963556,9.051302826627232,0,9.94,0.82,2.3,1 Month,0.495,3.007
2013-11-14,10.64433828,9.175240935166231,0,9.62,0.74,4.6,1 Month,0.495,3.007
2013-11-15,10.78800559,9.088892128693724,0,9.25,0.72,2.57,1 Month,0.495,3.007
2013-11-16,11.29579988,9.406316235267315,0,9.14,0.87,1.4,1 Month,0.495,3.007
2013-11-17,11.88161853,9.898498101829482,0,9.57,0.87,0.87,1 Month,0.495,3.007
2013-11-18,11.0442719,9.219659492232617,0,9.3,0.92,1.77,1 Month,0.495,3.007
